Country,Region,Reserves,Reserves_fj5,Energy,Energy_fj5,Electricity,Electricity_fj5,Education,Education_fj5
Uganda,Africa,3359000000.0,0,2252000.0,0,1452000.0,0,2.7,0
Ukraine,Europe,41485000000.0,0,57856000.0,1,60297000.0,1,5.4,2
United Arab Emirates,Middle East,231690000000.0,1,450432000.0,3,44462000.0,0,3.9,1
United Kingdom,Europe,148569000000.0,1,94280000.0,1,114749000.0,1,5.5,2
United States,North America,227760000000.0,1,278474000.0,2,1235000000.0,3,6.1,3
Uruguay,South America,17369000000.0,0,45755000.0,0,5682000.0,0,4.6,2
Uzbekistan,Central Asia,9145000000.0,0,55305000.0,1,17901000.0,0,4.9,2
Vanuatu,Australia and Oceania,643768000.0,0,12934000.0,0,39000.0,0,2.2,0
Venezuela,South America,9794000000.0,0,54474000.0,1,33493000.0,0,1.3,0
Vietnam,East and Southeast Asia,92238000000.0,1,40263000.0,0,85725000.0,1,4.1,1
Virgin Islands,Central America and the Caribbean,,,,,326000.0,0,,
West Bank,Middle East,1328000000.0,0,14991000.0,0,352000.0,0,5.3,2
Yemen,Middle East,1251000000.0,0,2987000.0,0,1790000.0,0,,
Zambia,Africa,3173000000.0,0,8265000.0,0,3986000.0,0,3.7,1
Zimbabwe,Africa,261373000.0,0,10855000.0,0,2491000.0,0,3.9,1
